[02:39:56] Using device: cuda:0
[02:39:56] Loading training data...
[02:39:56] Training samples: 4150
[02:39:56] Loading validation data...
[02:39:56] Validation samples: 1012
[02:39:56] Initializing model...
[02:39:57] Model initialized on cuda:0
[02:39:57] 
=== Epoch 1/80 ===
[02:39:57] Learning rate: 0.000100
[02:39:59] Epoch 0 | Batch 0/518 | Loss: 5.7881
[02:40:06] Epoch 0 | Batch 10/518 | Loss: 4.5350
[02:40:13] Epoch 0 | Batch 20/518 | Loss: 4.5823
[02:40:20] Epoch 0 | Batch 30/518 | Loss: 4.3821
[02:40:27] Epoch 0 | Batch 40/518 | Loss: 4.1714
[02:40:34] Epoch 0 | Batch 50/518 | Loss: 4.2928
[02:40:42] Epoch 0 | Batch 60/518 | Loss: 3.8480
[02:40:49] Epoch 0 | Batch 70/518 | Loss: 3.8857
[02:40:56] Epoch 0 | Batch 80/518 | Loss: 3.6981
[02:41:03] Epoch 0 | Batch 90/518 | Loss: 3.7290
[02:41:10] Epoch 0 | Batch 100/518 | Loss: 3.7891
[02:41:17] Epoch 0 | Batch 110/518 | Loss: 3.5094
[02:41:24] Epoch 0 | Batch 120/518 | Loss: 3.4742
[02:41:32] Epoch 0 | Batch 130/518 | Loss: 3.5201
[02:41:39] Epoch 0 | Batch 140/518 | Loss: 3.6941
[02:41:46] Epoch 0 | Batch 150/518 | Loss: 3.6236
[02:41:53] Epoch 0 | Batch 160/518 | Loss: 3.3901
[02:42:00] Epoch 0 | Batch 170/518 | Loss: 3.2838
[02:42:07] Epoch 0 | Batch 180/518 | Loss: 3.3518
[02:42:14] Epoch 0 | Batch 190/518 | Loss: 3.5390
[02:42:21] Epoch 0 | Batch 200/518 | Loss: 3.5661
[02:42:29] Epoch 0 | Batch 210/518 | Loss: 3.2700
[02:42:36] Epoch 0 | Batch 220/518 | Loss: 3.1057
[02:42:43] Epoch 0 | Batch 230/518 | Loss: 3.1833
[02:42:50] Epoch 0 | Batch 240/518 | Loss: 3.1564
[02:42:57] Epoch 0 | Batch 250/518 | Loss: 3.1149
[02:43:04] Epoch 0 | Batch 260/518 | Loss: 3.0815
[02:43:11] Epoch 0 | Batch 270/518 | Loss: 3.1761
[02:43:19] Epoch 0 | Batch 280/518 | Loss: 3.0895
[02:43:26] Epoch 0 | Batch 290/518 | Loss: 3.0295
[02:43:33] Epoch 0 | Batch 300/518 | Loss: 3.3013
[02:43:40] Epoch 0 | Batch 310/518 | Loss: 3.2579
[02:43:47] Epoch 0 | Batch 320/518 | Loss: 3.1272
[02:43:54] Epoch 0 | Batch 330/518 | Loss: 2.9371
[02:44:01] Epoch 0 | Batch 340/518 | Loss: 2.9813
[02:44:08] Epoch 0 | Batch 350/518 | Loss: 3.0344
[02:44:15] Epoch 0 | Batch 360/518 | Loss: 3.1845
[02:44:23] Epoch 0 | Batch 370/518 | Loss: 3.1075
[02:44:30] Epoch 0 | Batch 380/518 | Loss: 3.2072
[02:44:37] Epoch 0 | Batch 390/518 | Loss: 3.4680
[02:44:44] Epoch 0 | Batch 400/518 | Loss: 3.0233
[02:44:51] Epoch 0 | Batch 410/518 | Loss: 2.9476
[02:44:58] Epoch 0 | Batch 420/518 | Loss: 3.0700
[02:45:05] Epoch 0 | Batch 430/518 | Loss: 2.9368
[02:45:12] Epoch 0 | Batch 440/518 | Loss: 2.9191
[02:45:19] Epoch 0 | Batch 450/518 | Loss: 3.1662
[02:45:27] Epoch 0 | Batch 460/518 | Loss: 3.1810
[02:45:34] Epoch 0 | Batch 470/518 | Loss: 3.1957
[02:45:41] Epoch 0 | Batch 480/518 | Loss: 2.9996
[02:45:49] Epoch 0 | Batch 490/518 | Loss: 2.7549
[02:45:56] Epoch 0 | Batch 500/518 | Loss: 3.0011
[02:46:04] Epoch 0 | Batch 510/518 | Loss: 2.8304
[02:46:09] Train Loss: 1.7163
[02:46:48] Val Loss: 1.0672 | AUC: 0.7672 | IOU: 0.0790 | SIM: 0.3909 | MAE: 0.1972
[02:46:48] 
=== Epoch 2/80 ===
[02:46:48] Learning rate: 0.000100
[02:46:49] Epoch 1 | Batch 0/518 | Loss: 2.8525
[02:46:56] Epoch 1 | Batch 10/518 | Loss: 3.1467
[02:47:03] Epoch 1 | Batch 20/518 | Loss: 2.8098
[02:47:10] Epoch 1 | Batch 30/518 | Loss: 3.0739
[02:47:17] Epoch 1 | Batch 40/518 | Loss: 2.8237
[02:47:25] Epoch 1 | Batch 50/518 | Loss: 2.9191
