[02:39:57] Using device: cuda:0
[02:39:57] Loading training data...
[02:39:57] Training samples: 4194
[02:39:57] Loading validation data...
[02:39:57] Validation samples: 968
[02:39:57] Initializing model...
[02:39:58] Model initialized on cuda:0
[02:39:58] 
=== Epoch 1/80 ===
[02:39:58] Learning rate: 0.000100
[02:40:00] Epoch 0 | Batch 0/524 | Loss: 5.4171
[02:40:07] Epoch 0 | Batch 10/524 | Loss: 5.0442
[02:40:14] Epoch 0 | Batch 20/524 | Loss: 4.4764
[02:40:21] Epoch 0 | Batch 30/524 | Loss: 4.5698
[02:40:28] Epoch 0 | Batch 40/524 | Loss: 4.0565
[02:40:35] Epoch 0 | Batch 50/524 | Loss: 3.8532
[02:40:43] Epoch 0 | Batch 60/524 | Loss: 3.6629
[02:40:50] Epoch 0 | Batch 70/524 | Loss: 3.8125
[02:40:57] Epoch 0 | Batch 80/524 | Loss: 3.7359
[02:41:04] Epoch 0 | Batch 90/524 | Loss: 3.6688
[02:41:11] Epoch 0 | Batch 100/524 | Loss: 3.7488
[02:41:18] Epoch 0 | Batch 110/524 | Loss: 3.5518
[02:41:25] Epoch 0 | Batch 120/524 | Loss: 3.5464
[02:41:33] Epoch 0 | Batch 130/524 | Loss: 3.4100
[02:41:40] Epoch 0 | Batch 140/524 | Loss: 3.2678
[02:41:47] Epoch 0 | Batch 150/524 | Loss: 3.3546
[02:41:54] Epoch 0 | Batch 160/524 | Loss: 3.5337
[02:42:01] Epoch 0 | Batch 170/524 | Loss: 3.5124
[02:42:08] Epoch 0 | Batch 180/524 | Loss: 3.4152
[02:42:15] Epoch 0 | Batch 190/524 | Loss: 3.2557
[02:42:23] Epoch 0 | Batch 200/524 | Loss: 3.3761
[02:42:29] Epoch 0 | Batch 210/524 | Loss: 3.3708
[02:42:37] Epoch 0 | Batch 220/524 | Loss: 3.1158
[02:42:44] Epoch 0 | Batch 230/524 | Loss: 3.3394
[02:42:51] Epoch 0 | Batch 240/524 | Loss: 3.6766
[02:42:58] Epoch 0 | Batch 250/524 | Loss: 2.9959
[02:43:05] Epoch 0 | Batch 260/524 | Loss: 3.1939
[02:43:12] Epoch 0 | Batch 270/524 | Loss: 3.1387
[02:43:19] Epoch 0 | Batch 280/524 | Loss: 3.0164
[02:43:27] Epoch 0 | Batch 290/524 | Loss: 3.2243
[02:43:33] Epoch 0 | Batch 300/524 | Loss: 2.9790
[02:43:41] Epoch 0 | Batch 310/524 | Loss: 3.0837
[02:43:48] Epoch 0 | Batch 320/524 | Loss: 3.1255
[02:43:55] Epoch 0 | Batch 330/524 | Loss: 3.0137
[02:44:02] Epoch 0 | Batch 340/524 | Loss: 3.1357
[02:44:09] Epoch 0 | Batch 350/524 | Loss: 3.0565
[02:44:16] Epoch 0 | Batch 360/524 | Loss: 3.3843
[02:44:24] Epoch 0 | Batch 370/524 | Loss: 3.1744
[02:44:31] Epoch 0 | Batch 380/524 | Loss: 3.5827
[02:44:37] Epoch 0 | Batch 390/524 | Loss: 3.0053
[02:44:45] Epoch 0 | Batch 400/524 | Loss: 2.8320
[02:44:52] Epoch 0 | Batch 410/524 | Loss: 2.9985
[02:44:59] Epoch 0 | Batch 420/524 | Loss: 3.1305
[02:45:06] Epoch 0 | Batch 430/524 | Loss: 3.0394
[02:45:13] Epoch 0 | Batch 440/524 | Loss: 2.8238
[02:45:20] Epoch 0 | Batch 450/524 | Loss: 3.3601
[02:45:28] Epoch 0 | Batch 460/524 | Loss: 3.0628
[02:45:35] Epoch 0 | Batch 470/524 | Loss: 3.0208
[02:45:42] Epoch 0 | Batch 480/524 | Loss: 3.2397
[02:45:49] Epoch 0 | Batch 490/524 | Loss: 3.0099
[02:45:57] Epoch 0 | Batch 500/524 | Loss: 2.8984
[02:46:04] Epoch 0 | Batch 510/524 | Loss: 3.0862
[02:46:11] Epoch 0 | Batch 520/524 | Loss: 3.1571
[02:46:14] Train Loss: 1.6784
[02:46:50] Val Loss: 1.0784 | AUC: 0.6726 | IOU: 0.0391 | SIM: 0.3082 | MAE: 0.2075
[02:46:50] 
=== Epoch 2/80 ===
[02:46:50] Learning rate: 0.000100
[02:46:51] Epoch 1 | Batch 0/524 | Loss: 2.6627
[02:46:58] Epoch 1 | Batch 10/524 | Loss: 2.6679
[02:47:05] Epoch 1 | Batch 20/524 | Loss: 3.2974
[02:47:12] Epoch 1 | Batch 30/524 | Loss: 2.9665
[02:47:19] Epoch 1 | Batch 40/524 | Loss: 2.8456
[02:47:27] Epoch 1 | Batch 50/524 | Loss: 2.9689
[02:47:34] Epoch 1 | Batch 60/524 | Loss: 3.0308
[02:47:41] Epoch 1 | Batch 70/524 | Loss: 3.0411
[02:47:48] Epoch 1 | Batch 80/524 | Loss: 2.9600
[02:47:55] Epoch 1 | Batch 90/524 | Loss: 2.9749
[02:48:02] Epoch 1 | Batch 100/524 | Loss: 3.0496
[02:48:09] Epoch 1 | Batch 110/524 | Loss: 2.9970
[02:48:16] Epoch 1 | Batch 120/524 | Loss: 3.1922
[02:48:23] Epoch 1 | Batch 130/524 | Loss: 2.8797
[02:48:30] Epoch 1 | Batch 140/524 | Loss: 3.0077
[02:48:38] Epoch 1 | Batch 150/524 | Loss: 3.0282
[02:48:45] Epoch 1 | Batch 160/524 | Loss: 2.9125
[02:48:52] Epoch 1 | Batch 170/524 | Loss: 2.8794
[02:48:59] Epoch 1 | Batch 180/524 | Loss: 2.7320
[02:49:06] Epoch 1 | Batch 190/524 | Loss: 2.8101
[02:49:13] Epoch 1 | Batch 200/524 | Loss: 3.0759
[02:49:20] Epoch 1 | Batch 210/524 | Loss: 2.9530
[02:49:27] Epoch 1 | Batch 220/524 | Loss: 2.9638
[02:49:34] Epoch 1 | Batch 230/524 | Loss: 3.0769
[02:49:42] Epoch 1 | Batch 240/524 | Loss: 2.8641
[02:49:49] Epoch 1 | Batch 250/524 | Loss: 2.8271
[02:49:56] Epoch 1 | Batch 260/524 | Loss: 2.8906
[02:50:03] Epoch 1 | Batch 270/524 | Loss: 2.8451
[02:50:10] Epoch 1 | Batch 280/524 | Loss: 2.7795
[02:50:17] Epoch 1 | Batch 290/524 | Loss: 2.8391
[02:50:24] Epoch 1 | Batch 300/524 | Loss: 2.9050
[02:50:31] Epoch 1 | Batch 310/524 | Loss: 2.8025
[02:50:39] Epoch 1 | Batch 320/524 | Loss: 3.0213
[02:50:46] Epoch 1 | Batch 330/524 | Loss: 2.8414
[02:50:53] Epoch 1 | Batch 340/524 | Loss: 2.7776
[02:51:00] Epoch 1 | Batch 350/524 | Loss: 2.7018
[02:51:07] Epoch 1 | Batch 360/524 | Loss: 2.6709
[02:51:14] Epoch 1 | Batch 370/524 | Loss: 3.0310
[02:51:21] Epoch 1 | Batch 380/524 | Loss: 3.3071
[02:51:28] Epoch 1 | Batch 390/524 | Loss: 2.7802
