Wall time,Step,Value
1778926271.693172,1,0.00013900641351938248
1778926327.4900107,2,0.0
1778926384.1135104,3,5.01922877447214e-05
1778926439.7242942,4,0.0
1778926495.8821163,5,1.8154778445023112e-05
1778926552.2135532,6,2.216705752289272e-06
1778926608.625392,7,2.541045796533581e-05
1778926666.1511588,8,1.3549915820476599e-05
1778926722.425002,9,1.5721345334895886e-05
1778926779.5404963,10,1.5350087778642774e-05
1778926836.5697243,11,2.2706368326907977e-05
1778926892.1500692,12,1.6460051483591087e-05
1778926947.3589315,13,3.6286348858993733e-06
1778927003.4855344,14,1.4669582014903426e-05
1778927060.9776528,15,1.3487174328474794e-05
1778927117.9680412,16,3.414387902012095e-05
1778927174.5223584,17,4.590358366840519e-05
1778927230.283622,18,3.9010326872812584e-05
1778927285.9398925,19,3.42561470461078e-05
1778927342.7529964,20,2.403093640168663e-05
1778927398.3672676,21,2.0504485291894525e-05
1778927454.9293017,22,4.2972216760972515e-05
1778927511.062555,23,2.5159246433759108e-05
1778927566.5031135,24,2.0462895918171853e-05
1778927622.8460665,25,3.133582868031226e-05
1778927678.1986203,26,1.7675974959274754e-05
1778927734.7551177,27,1.898567631997139e-07
1778927792.0810897,28,2.0962836060789414e-05
1778927848.057877,29,2.615928497107234e-05
1778927903.5258102,30,2.4051545551628806e-05
1778927959.3262875,31,1.978508043976035e-05
1778928013.4675117,32,1.3424647477222607e-05
1778928069.5892467,33,6.9372617872431874e-06
1778928125.6129491,34,1.178320417238865e-05
1778928181.220156,35,1.333412183157634e-05
1778928237.075016,36,5.064665401732782e-06
1778928291.6052716,37,2.2894741960044485e-06
1778928348.5943334,38,1.045179942593677e-05
1778928404.7760978,39,9.619525371817872e-06
1778928460.2898073,40,1.108191554521909e-05
